"as_at","year","month_number","offence_category","offence_type","alcohol_involvement","dv_involvement","reporting_region","statistical_area_2","number_of_offences"
"3/03/2025",2024,7,"Abduction - harassment and other offences against the person","Abduction and kidnapping",0,0,"Palmerston","",1
"3/03/2025",2024,8,"Abduction - harassment and other offences against the person","Abduction and kidnapping",0,0,"Alice Springs","",1
"3/03/2025",2024,8,"Abduction - harassment and other offences against the person","Abduction and kidnapping",0,0,"Katherine","",1
"3/03/2025",2024,8,"Abduction - harassment and other offences against the person","Abduction and kidnapping",0,0,"Palmerston","",1
"3/03/2025",2024,12,"Abduction - harassment and other offences against the person","Abduction and kidnapping",0,0,"Alice Springs","",2
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"Alice Springs","",38
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"Alice Springs","",40
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"Alice Springs","",44
"3/03/2025",2023,12,"Acts intended to cause Injury","Assault",0,0,"Alice Springs","",45
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"Darwin","",59
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"Darwin","",62
"1/05/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"Darwin","",64
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"Darwin","",71
"3/03/2025",2023,12,"Acts intended to cause Injury","Assault",0,0,"Darwin","",72
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"Katherine","",20
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"Katherine","",21
"1/03/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Barkly",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Barkly",2
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"NT Balance","East Arnhem",10
"2/04/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Elsey",1
"4/07/2024",2023,12,"Acts intended to cause Injury","Assault",0,0,"NT Balance","Elsey",2
