As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Darwin,,1
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Yuendumu - Anmatjere,1
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,,1
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Darwin,,3
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Barkly,1
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Unknown ,1
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,,1
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,4
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,6
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,4
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Nhulunbuy,,2
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Sandover - Plenty,1
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Thamarrurr,2
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Tiwi Islands,1
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Victoria River,1
3/03/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Yuendumu - Anmatjere,1
3/03/2025,2023,12,Acts intended to cause Injury,Assault,No,No,Alice Springs,,45
3/03/2025,2023,12,Acts intended to cause Injury,Assault,No,No,Darwin,,72
3/03/2025,2023,12,Acts intended to cause Injury,Assault,No,No,Katherine,,21
