As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Darwin,,1
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Yuendumu - Anmatjere,1
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,,1
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Darwin,,3
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Barkly,1
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Unknown ,1
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,,1
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,4
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,6
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,4
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Nhulunbuy,,2
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Sandover - Plenty,1
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Thamarrurr,2
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Tiwi Islands,1
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Victoria River,1
4/07/2024,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Yuendumu - Anmatjere,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Alice Springs,,44
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Darwin,,71
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Katherine,,21
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Nhulunbuy,,3
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Barkly,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,East Arnhem,10
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Elsey,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Gulf,5
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Howard Springs,9
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Humpty Doo,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Petermann - Simpson,3
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Sandover - Plenty,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Tanami,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Thamarrurr,8
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Tiwi Islands,3
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Virginia,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Yuendumu - Anmatjere,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Unknown ,4
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Palmerston,,27
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,No,Tennant Creek,,6
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,Alice Springs,,69
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,Darwin,,25
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,Katherine,,22
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Alligator,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Anindilyakwa,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Barkly,3
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,East Arnhem,20
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Elsey,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Gulf,9
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Howard Springs,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Humpty Doo,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Petermann - Simpson,5
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Sandover - Plenty,5
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Tanami,12
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Thamarrurr,14
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Tiwi Islands,3
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Victoria River,9
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Weddell,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,West Arnhem,13
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Yuendumu - Anmatjere,14
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Unknown ,3
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,Palmerston,,20
4/07/2024,2023,12,Acts intended to cause Injury,Assault,No,Yes,Tennant Creek,,5
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,Alice Springs,,34
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,Darwin,,66
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,Katherine,,16
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,Nhulunbuy,,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Daly,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,East Arnhem,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Petermann - Simpson,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Sandover - Plenty,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Thamarrurr,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Victoria River,3
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Weddell,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,West Arnhem,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Unknown ,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,Palmerston,,9
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,No,Tennant Creek,,10
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Alice Springs,,58
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Darwin,,51
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Katherine,,36
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Nhulunbuy,,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Alligator,6
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Anindilyakwa,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Barkly,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Daly,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,East Arnhem,4
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Elsey,9
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Gulf,9
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Humpty Doo,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Petermann - Simpson,6
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Sandover - Plenty,4
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Tanami,6
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Thamarrurr,11
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Tiwi Islands,6
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Victoria River,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Weddell,2
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,West Arnhem,10
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Yuendumu - Anmatjere,1
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,NT Balance,Unknown ,8
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Palmerston,,33
4/07/2024,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Tennant Creek,,18
4/07/2024,2023,12,Acts intended to cause Injury,Other acts intended to cause injury,-,-,Darwin,,1
4/07/2024,2023,12,Acts intended to cause Injury,Other acts intended to cause injury,-,-,NT Balance,Howard Springs,1
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Alice Springs,,49
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Darwin,,21
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Katherine,,13
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Nhulunbuy,,2
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Alligator,1
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Barkly,1
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Daly,4
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,East Arnhem,10
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Gulf,5
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Howard Springs,3
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Petermann - Simpson,2
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Sandover - Plenty,4
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Tanami,3
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Thamarrurr,1
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Victoria River,1
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Virginia,3
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Weddell,4
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,West Arnhem,6
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Yuendumu - Anmatjere,2
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,NT Balance,Unknown ,3
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Palmerston,,8
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins actual,-,-,Tennant Creek,,20
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Alice Springs,,6
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Darwin,,4
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Katherine,,4
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Gulf,1
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Howard Springs,1
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Tiwi Islands,2
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,NT Balance,Victoria River,1
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Palmerston,,3
4/07/2024,2023,12,Commercial break-ins,Commercial break-ins attempted,-,-,Tennant Creek,,2
4/07/2024,2023,12,Homicide and related Offences,Driving causing death,-,-,Darwin,,1
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,Alice Springs,,114
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,Darwin,,34
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,Katherine,,19
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,Nhulunbuy,,1
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Anindilyakwa,7
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Barkly,3
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,East Arnhem,7
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Howard Springs,1
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Humpty Doo,2
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Tanami,1
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Thamarrurr,1
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Tiwi Islands,2
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Victoria River,6
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Weddell,3
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,West Arnhem,5
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Yuendumu - Anmatjere,2
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,NT Balance,Unknown ,4
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,Palmerston,,15
4/07/2024,2023,12,House break-ins,House break-ins actual,-,-,Tennant Creek,,39
4/07/2024,2023,12,House break-ins,House break-ins attempted,-,-,Alice Springs,,20
4/07/2024,2023,12,House break-ins,House break-ins attempted,-,-,Darwin,,4
4/07/2024,2023,12,House break-ins,House break-ins attempted,-,-,Katherine,,2
4/07/2024,2023,12,House break-ins,House break-ins attempted,-,-,NT Balance,Anindilyakwa,2
4/07/2024,2023,12,House break-ins,House break-ins attempted,-,-,NT Balance,Tiwi Islands,1
4/07/2024,2023,12,House break-ins,House break-ins attempted,-,-,NT Balance,Unknown ,3
4/07/2024,2023,12,House break-ins,House break-ins attempted,-,-,Palmerston,,6
4/07/2024,2023,12,House break-ins,House break-ins attempted,-,-,Tennant Creek,,5
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Alice Springs,,19
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Darwin,,15
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Katherine,,2
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Nhulunbuy,,1
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Alligator,1
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,East Arnhem,1
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Howard Springs,2
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Humpty Doo,2
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Sandover - Plenty,1
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Thamarrurr,2
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Tiwi Islands,1
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Victoria River,1
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,Weddell,1
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,NT Balance,West Arnhem,1
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Palmerston,,12
4/07/2024,2023,12,Motor vehicle theft and related offences,Illegal use of a motor vehicle,-,-,Tennant Creek,,2
4/07/2024,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Alice Springs,,7
4/07/2024,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Darwin,,5
4/07/2024,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Katherine,,1
4/07/2024,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Petermann - Simpson,2
4/07/2024,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Thamarrurr,2
4/07/2024,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Weddell,3
4/07/2024,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Palmerston,,3
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,Alice Springs,,280
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,Darwin,,172
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,Katherine,,52
4/07/2024,2023,12,Property Damage Offences,Property damage offences,-,-,Nhulunbuy,,5
