As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,Darwin,,1
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Deprivation of liberty /false imprisonment,-,-,NT Balance,Yuendumu - Anmatjere,1
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Alice Springs,,1
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Darwin,,3
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Barkly,1
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,NT Balance,Unknown ,1
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Harassment and private nuisance,-,-,Palmerston,,1
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Alice Springs,,4
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Darwin,,6
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Katherine,,4
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,Nhulunbuy,,2
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Sandover - Plenty,1
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Thamarrurr,2
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Tiwi Islands,1
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Victoria River,1
2/01/2025,2023,12,Abduction - harassment and other offences against the person,Threatening behaviour,-,-,NT Balance,Yuendumu - Anmatjere,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,Alice Springs,,45
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,Darwin,,72
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,Katherine,,21
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,Nhulunbuy,,3
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Barkly,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,East Arnhem,10
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Elsey,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Gulf,5
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Howard Springs,9
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Humpty Doo,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Petermann - Simpson,3
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Sandover - Plenty,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Tanami,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Thamarrurr,8
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Tiwi Islands,3
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Virginia,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Yuendumu - Anmatjere,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,NT Balance,Unknown ,4
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,Palmerston,,27
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,No,Tennant Creek,,6
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,Alice Springs,,69
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,Darwin,,26
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,Katherine,,22
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Alligator,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Anindilyakwa,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Barkly,3
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Daly,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,East Arnhem,20
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Elsey,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Gulf,10
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Howard Springs,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Humpty Doo,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Petermann - Simpson,5
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Sandover - Plenty,6
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Tanami,12
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Thamarrurr,14
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Tiwi Islands,3
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Victoria River,9
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Weddell,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,West Arnhem,13
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Yuendumu - Anmatjere,14
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,NT Balance,Unknown ,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,Palmerston,,20
2/01/2025,2023,12,Acts intended to cause Injury,Assault,No,Yes,Tennant Creek,,5
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Alice Springs,,33
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Darwin,,66
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Katherine,,16
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Nhulunbuy,,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Daly,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,East Arnhem,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Petermann - Simpson,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Sandover - Plenty,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Thamarrurr,2
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Victoria River,3
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Weddell,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,West Arnhem,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,NT Balance,Unknown ,1
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Palmerston,,9
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,No,Tennant Creek,,10
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Alice Springs,,59
2/01/2025,2023,12,Acts intended to cause Injury,Assault,Yes,Yes,Darwin,,51
